Наименование,Цена,Ссылка на изображение,Краткое описание
"
        BRP Outlander 1000
              ","
$ 28 500
                                                             
                                                                                   2 511 990 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/8/2/082d40eed3dfdca2a4ca10de1a607cdf_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 26 000
                                                             
                                                                                   2 291 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/7/c/d7cfa83d0d9548e7ee627b42b4c90afa_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 379 780 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/2/8/728aa6783ea3f8d0f55d851e173d1c76_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 379 780 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/1/c/b1c32741445402f784a9e8dbef4919e0_240x180.jpg,        мотовездеход                    
"
        Yamaha YZF-R6
              ","
$ 5 000
                                                             
                                                                                   440 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/a/0/aa03b9e02d97e3c92ded2c02df1f1d73_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 1000
              ","
$ 8 300
                                                             
                                                                                   731 562 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/c/a/0ca26dec6642fb193c52f8c4fd8ad490_240x180.jpg,        мотоцикл                    
"
        Honda CBF 600S
              ","
$ 4 700
                                                             
                                                                                   414 258 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/4/d/54d6777b4196f3756a9ea23fd79f4768_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 13 500
                                                             
                                                                                   1 189 890 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/9/9/e99cccde70c22d0778f92689431649e2_240x180.jpg,        мотовездеход                    
"
        Yamaha Majesty
              ","
$ 2 042
                                                             
                                                                                   180 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/6/0/e6095e3bfcce1a8096e24259ef3cdb30_240x180.jpg,        скутер                    
"
        Suzuki DL V-Strom
              ","
$ 5 500
                                                             
                                                                                   484 770 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/4/5/d45f206207adb2022b033c185168b8c2_240x180.jpg,        мотоцикл                    
"
        BMW R 1200 GS
              ","
$ 6 000
                                                             
                                                                                   528 840 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/6/e/76e994cf58340c12b3fb6fa08f2a3a98_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 350
                                                             
                                                                                   118 989 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/5/c/35c2df5c89864aaad4930d66d515ece9_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 600 R
              ","
$ 5 500
                                                             
                                                                                   484 770 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/2/9/329ca614a1d0b686d3e20b08588931a6_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 452
                                                             
                                                                                   128 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/0/1/a01a4e615cb1793f7d0e08b3294eeb73_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ6
              ","
$ 3 999
                                                             
                                                                                   352 472 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/4/6/246b462887ad1da97ac230439bcd29bb_240x180.jpg,        мотоцикл                    
"
        Honda CB 250
              ","
$ 2 496
                                                             
                                                                                   220 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/e/e/7ee5979b43410614532e7f0255f31257_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) ZW125
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/4/7/74790dd39964e413497b8af866756905_240x180.jpg,        мотоцикл                    
"
        Honda CB 400
              ","
$ 4 538
                                                             
                                                                                   400 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/2/5/22577505994de555543aa64179028e56_240x180.jpg,        мотоцикл                    
"
        Kawasaki W 650
              ","
$ 4 999
                                                             
                                                                                   440 612 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/a/c/7ac583ff874abb9d782214470b14dd97_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 1 350
                                                             
                                                                                   119 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/3/2/7320b2af5b722f88b2e58d6422209469_240x180.jpg,        скутер                    
"
        Suzuki SV 400
              ","
$ 2 836
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/0/a/80a6355616d41ebf9da53e3ef21f25c6_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R3
              ","
$ 2 383
                                                             
                                                                                   210 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/3/b/03bfc3e48aa2074cd6362cd666775a1f_240x180.jpg,        мотоцикл                    
"
        Daelim SV
              ","
$ 908
                                                             
                                                                                   80 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/a/0/1a006471d909ff9686aa13a2c4329ca6_240x180.jpg,        скутер                    
"
        Урал М 100
              ","
$ 1 135
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/a/5/3a502da7c36d76c7020babff30508300_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX-R 600
              ","
$ 5 999
                                                             
                                                                                   528 752 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/4/4/b448b2612619bef2c2b256706dec5187_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R6
              ","
$ 5 999
                                                             
                                                                                   528 752 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/7/3/c73bdaa20a51f6a5077a141f130548f3_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R1
              ","
$ 7 300
                                                             
                                                                                   643 422 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/e/c6e58eb1ded1b6b49dab5968829512b2_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Скутеры
              ","
$ 50 000
                                                             
                                                                                   4 407 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/3/7/337548ed801da0fb8844a5cbc965f46f_240x180.jpg,        скутер                    
"
        Yamaha FZ6
              ","
$ 4 200
                                                             
                                                                                   370 188 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/1/3/1133da775d6192c9445b3ea3733c8199_240x180.jpg,        мотоцикл                    
"
        BRP Renegade
              ","
$ 28 500
                                                             
                                                                                   2 511 990 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/0/0/9001450a3105ad7e1fbea095028d7ab2_240x180.jpg,        мотовездеход                    
"
        BMW R 1150 RS
              ","
$ 4 600
                                                             
                                                                                   405 444 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/0/7/b077d831dcb4c8714672b84f3c59b5a2_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 5 200
                                                             
                                                                                   458 328 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/7/9/679bf2f07c4562d9e8330e60722a450a_240x180.jpg,        мотоцикл                    
"
        Yamaha SR 400
              ","
$ 6 900
                                                             
                                                                                   608 166 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/1/e214337ca4f9c9cad3ce414adf668487_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ6
              ","
$ 7 000
                                                             
                                                                                   616 980 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/7/0/9702707b13f47ea765f321601628799e_240x180.jpg,        мотоцикл                    
"
        Yamaha V-Max
              ","
$ 7 100
                                                             
                                                                                   625 794 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/f/e/8feab24b8dbb64ba97d86f0bcf4a5d70_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 30 000
                                                             
                                                                                   2 644 200 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/9/0/390b272413b54e3a16c9294d28b25b9e_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 379 780 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/6/066fa873cd014d3daafb4efaab9d415a_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 379 780 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/c/9/fc9aa1f7f95c12bfb008927fb58ea904_240x180.jpg,        мотовездеход                    
"
        Yamaha YZF 1000 R1
              ","
$ 5 000
                                                             
                                                                                   440 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/4/a/84a95766e4109632a745352bbd3ce268_240x180.jpg,        мотоцикл                    
